Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
0	-0,652
0,01	-0,634
0,02	-0,626
0,03	-0,632
0,04	-0,647
0,05	-0,642
0,06	-0,609
0,07	-0,547
0,08	-0,501
0,09	-0,534
0,1	-0,616
0,11	-0,654
0,12	-0,599
0,13	-0,463
0,14	-0,290
0,15	-0,063
0,16	0,256
0,17	0,619
0,18	0,951
0,19	1,228
0,2	1,417
0,21	1,479
0,22	1,394
0,23	1,188
0,24	0,933
0,25	0,672
0,26	0,400
0,27	0,129
0,28	-0,106
0,29	-0,304
0,3	-0,509
0,31	-0,716
0,32	-0,851
0,33	-0,891
0,34	-0,889
0,35	-0,893
0,36	-0,915
0,37	-0,973
0,38	-1,036
0,39	-1,059
0,4	-1,064
0,41	-1,058
0,42	-1,020
0,43	-0,945
0,44	-0,847
0,45	-0,749
0,46	-0,653
0,47	-0,533
0,48	-0,403
0,49	-0,291
0,5	-0,193
0,51	-0,094
0,52	-0,035
0,53	-0,053
0,54	-0,104
0,55	-0,137
0,56	-0,168
0,57	-0,246
0,58	-0,362
0,59	-0,438
0,6	-0,468
0,61	-0,534
0,62	-0,628
0,63	-0,695
0,64	-0,751
0,65	-0,798
0,66	-0,818
0,67	-0,816
0,68	-0,818
0,69	-0,839
0,7	-0,856
0,71	-0,843
0,72	-0,814
0,73	-0,796
0,74	-0,782
0,75	-0,749
0,76	-0,709
0,77	-0,700
0,78	-0,714
0,79	-0,711
0,8	-0,702
0,81	-0,696
0,82	-0,657
0,83	-0,604
0,84	-0,594
0,85	-0,601
0,86	-0,574
0,87	-0,541
0,88	-0,559
0,89	-0,602
0,9	-0,621
0,91	-0,626
0,92	-0,605
0,93	-0,511
0,94	-0,351
0,95	-0,156
0,96	0,109
0,97	0,453
0,98	0,793
0,99	1,046
1	1,196
1,01	1,262
1,02	1,254
1,03	1,174
1,04	1,005
1,05	0,736
1,06	0,408
1,07	0,122
1,08	-0,081
1,09	-0,264
1,1	-0,463
1,11	-0,632
1,12	-0,752
1,13	-0,851
1,14	-0,946
1,15	-1,019
1,16	-1,053
1,17	-1,068
1,18	-1,086
1,19	-1,081
1,2	-1,075
1,21	-1,097
1,22	-1,111
1,23	-1,064
1,24	-0,954
1,25	-0,801
1,26	-0,635
1,27	-0,489
1,28	-0,369
1,29	-0,260
1,3	-0,146
1,31	-0,058
1,32	-0,043
1,33	-0,066
1,34	-0,072
1,35	-0,086
1,36	-0,166
1,37	-0,279
1,38	-0,349
1,39	-0,404
1,4	-0,502
1,41	-0,603
1,42	-0,654
1,43	-0,677
1,44	-0,733
1,45	-0,818
1,46	-0,869
1,47	-0,876
1,48	-0,869
1,49	-0,847
1,5	-0,819
1,51	-0,819
1,52	-0,850
1,53	-0,866
1,54	-0,813
1,55	-0,734
1,56	-0,733
1,57	-0,770
1,58	-0,741
1,59	-0,664
1,6	-0,632
1,61	-0,653
1,62	-0,671
1,63	-0,657
1,64	-0,633
1,65	-0,608
1,66	-0,584
1,67	-0,567
1,68	-0,555
1,69	-0,549
1,7	-0,571
1,71	-0,614
1,72	-0,634
1,73	-0,617
1,74	-0,581
1,75	-0,501
1,76	-0,352
1,77	-0,156
1,78	0,120
1,79	0,516
1,8	0,917
1,81	1,181
1,82	1,297
1,83	1,350
1,84	1,367
1,85	1,284
1,86	1,066
1,87	0,758
1,88	0,433
1,89	0,161
1,9	-0,044
1,91	-0,237
1,92	-0,452
1,93	-0,651
1,94	-0,784
1,95	-0,843
1,96	-0,872
1,97	-0,923
1,98	-0,993
1,99	-1,054
2	-1,106
2,01	-1,133
2,02	-1,126
2,03	-1,109
2,04	-1,088
2,05	-1,023
2,06	-0,898
2,07	-0,771
2,08	-0,703
2,09	-0,657
2,1	-0,548
