Interval=	0,01 s
ExcelDateTime=	4,1795674607928238e+004	05.06.2014 16:11:26,125
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
0,0	4,057
0,01	3,938
0,02	3,809
0,03	3,680
0,04	3,563
0,05	3,465
0,06	3,386
0,07	3,320
0,08	3,264
0,09	3,213
0,1	3,164
0,11	3,115
0,12	3,062
0,13	3,004
0,14	2,944
0,15	2,886
0,16	2,824
0,17	2,762
0,18	2,707
0,19	2,650
0,2	2,584
0,21	2,512
0,22	2,433
0,23	2,344
0,24	2,252
0,25	2,159
0,26	2,071
0,27	1,982
0,28	1,889
0,29	1,794
0,3	1,699
0,31	1,603
0,32	1,504
0,33	1,404
0,34	1,304
0,35	1,206
0,36	1,109
0,37	1,018
0,38	0,931
0,39	0,852
0,4	0,778
0,41	0,706
0,42	0,634
0,43	0,562
0,44	0,491
0,45	0,420
0,46	0,352
0,47	0,289
0,48	0,231
0,49	0,175
0,5	0,117
0,51	0,056
0,52	-0,013
0,53	-0,090
0,54	-0,160
0,55	-0,225
0,56	-0,292
0,57	-0,359
0,58	-0,432
0,59	-0,512
0,6	-0,594
0,61	-0,672
0,62	-0,747
0,63	-0,815
0,64	-0,878
0,65	-0,937
0,66	-0,991
0,67	-1,038
0,68	-1,081
0,69	-1,116
0,7	-1,140
0,71	-1,149
0,72	-1,144
0,73	-1,133
0,74	-1,125
0,75	-1,121
0,76	-1,115
0,77	-1,108
0,78	-1,101
0,79	-1,090
0,8	-1,076
0,81	-1,051
0,82	-1,008
0,83	-0,943
0,84	-0,854
0,85	-0,742
0,86	-0,604
0,87	-0,438
0,88	-0,251
0,89	-0,055
0,9	0,151
0,91	0,366
0,92	0,583
0,93	0,791
0,94	0,997
0,95	1,199
0,96	1,393
0,97	1,575
0,98	1,747
0,99	1,915
1,0	2,083
1,01	2,248
1,02	2,406
1,03	2,559
1,04	2,711
1,05	2,860
1,06	3,000
1,07	3,133
1,08	3,261
1,09	3,385
1,1	3,509
1,11	3,630
1,12	3,747
1,13	3,855
1,14	3,950
1,15	4,036
1,16	4,110
1,17	4,169
1,18	4,222
1,19	4,271
1,2	4,319
1,21	4,361
1,22	4,397
1,23	4,428
1,24	4,452
1,25	4,473
1,26	4,487
1,27	4,495
1,28	4,496
1,29	4,491
1,3	4,479
1,31	4,464
1,32	4,447
1,33	4,428
1,34	4,407
1,35	4,386
1,36	4,365
1,37	4,344
1,38	4,322
1,39	4,299
1,4	4,275
1,41	4,251
1,42	4,229
1,43	4,204
1,44	4,176
1,45	4,151
1,46	4,126
1,47	4,093
1,48	4,057
1,49	4,014
1,5	3,961
1,51	3,886
1,52	3,781
1,53	3,643
1,54	3,471
1,55	3,275
1,56	3,071
1,57	2,871
1,58	2,682
1,59	2,505
1,6	2,343
1,61	2,198
1,62	2,067
1,63	1,949
1,64	1,844
1,65	1,744
1,66	1,647
1,67	1,549
1,68	1,453
1,69	1,355
1,7	1,254
1,71	1,148
1,72	1,039
1,73	0,929
1,74	0,819
1,75	0,709
1,76	0,600
1,77	0,492
1,78	0,383
1,79	0,272
1,8	0,171
1,81	0,079
1,82	-0,009
1,83	-0,097
1,84	-0,194
1,85	-0,300
1,86	-0,402
1,87	-0,496
1,88	-0,581
1,89	-0,657
1,9	-0,727
1,91	-0,794
1,92	-0,860
1,93	-0,927
1,94	-0,997
1,95	-1,066
1,96	-1,133
1,97	-1,199
1,98	-1,262
1,99	-1,319
2,0	-1,371
2,01	-1,419
2,02	-1,464
2,03	-1,510
2,04	-1,554
2,05	-1,595
2,06	-1,634
2,07	-1,665
2,08	-1,689
2,09	-1,714
2,1	-1,742
2,11	-1,772
2,12	-1,806
2,13	-1,841
2,14	-1,877
2,15	-1,910
2,16	-1,940
2,17	-1,966
2,18	-1,986
2,19	-2,001
2,2	-2,007
2,21	-2,005
2,22	-1,998
2,23	-1,989
2,24	-1,974
2,25	-1,956
2,26	-1,941
2,27	-1,926
2,28	-1,914
2,29	-1,902
2,3	-1,885
2,31	-1,854
2,32	-1,803
2,33	-1,733
2,34	-1,636
2,35	-1,499
2,36	-1,319
2,37	-1,106
2,38	-0,884
2,39	-0,662
2,4	-0,447
2,41	-0,243
2,42	-0,046
2,43	0,153
2,44	0,356
2,45	0,558
2,46	0,755
2,47	0,953
2,48	1,141
2,49	1,312
2,5	1,469
2,51	1,612
2,52	1,743
2,53	1,867
2,54	1,985
2,55	2,098
2,56	2,204
2,57	2,304
2,58	2,397
2,59	2,482
2,6	2,559
2,61	2,632
2,62	2,703
2,63	2,769
2,64	2,831
2,65	2,893
2,66	2,952
2,67	3,009
2,68	3,064
2,69	3,122
2,7	3,178
2,71	3,231
2,72	3,283
2,73	3,328
2,74	3,364
2,75	3,398
2,76	3,430
2,77	3,457
2,78	3,479
2,79	3,498
2,8	3,511
2,81	3,518
2,82	3,519
2,83	3,514
2,84	3,505
2,85	3,490
2,86	3,473
2,87	3,453
2,88	3,433
2,89	3,413
2,9	3,394
2,91	3,375
2,92	3,355
2,93	3,335
2,94	3,315
2,95	3,296
2,96	3,276
2,97	3,256
2,98	3,235
2,99	3,214
3,0	3,192
3,01	3,167
3,02	3,142
3,03	3,120
3,04	3,098
3,05	3,068
3,06	3,030
3,07	2,983
3,08	2,930
3,09	2,874
3,1	2,818
3,11	2,766
3,12	2,709
3,13	2,637
3,14	2,558
3,15	2,475
3,16	2,386
3,17	2,285
3,18	2,169
3,19	2,038
3,2	1,898
3,21	1,754
3,22	1,606
3,23	1,458
3,24	1,308
3,25	1,161
3,26	1,017
