Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
0,0	-1,017
0,01	-1,011
0,02	-1,007
0,03	-1,004
0,04	-1,004
0,05	-1,004
0,06	-1,006
0,07	-1,008
0,08	-1,010
0,09	-1,011
0,1	-1,012
0,11	-1,011
0,12	-1,008
0,13	-1,005
0,14	-1,002
0,15	-0,998
0,16	-0,994
0,17	-0,988
0,18	-0,985
0,19	-0,984
0,2	-0,980
0,21	-0,974
0,22	-0,971
0,23	-0,967
0,24	-0,961
0,25	-0,951
0,26	-0,941
0,27	-0,931
0,28	-0,915
0,29	-0,893
0,3	-0,864
0,31	-0,828
0,32	-0,780
0,33	-0,718
0,34	-0,642
0,35	-0,558
0,36	-0,465
0,37	-0,362
0,38	-0,252
0,39	-0,141
0,4	-0,033
0,41	0,074
0,42	0,184
0,43	0,296
0,44	0,411
0,45	0,531
0,46	0,653
0,47	0,773
0,48	0,894
0,49	1,016
0,5	1,134
0,51	1,246
0,52	1,351
0,53	1,453
0,54	1,549
0,55	1,639
0,56	1,724
0,57	1,808
0,58	1,889
0,59	1,969
0,6	2,050
0,61	2,136
0,62	2,227
0,63	2,323
0,64	2,421
0,65	2,516
0,66	2,615
0,67	2,717
0,68	2,817
0,69	2,925
0,7	3,044
0,71	3,164
0,72	3,279
0,73	3,391
0,74	3,500
0,75	3,605
0,76	3,706
0,77	3,807
0,78	3,908
0,79	4,008
0,8	4,106
0,81	4,205
0,82	4,304
0,83	4,403
0,84	4,501
0,85	4,598
0,86	4,691
0,87	4,784
0,88	4,876
0,89	4,966
0,9	5,051
0,91	5,133
0,92	5,210
0,93	5,284
0,94	5,360
0,95	5,443
0,96	5,529
0,97	5,617
0,98	5,709
0,99	5,800
1,0	5,886
1,01	5,971
1,02	6,059
1,03	6,148
1,04	6,237
1,05	6,327
1,06	6,418
1,07	6,504
1,08	6,586
1,09	6,668
1,1	6,752
1,11	6,837
1,12	6,923
1,13	7,006
1,14	7,083
1,15	7,156
1,16	7,225
1,17	7,289
1,18	7,349
1,19	7,406
1,2	7,461
1,21	7,515
1,22	7,564
1,23	7,608
1,24	7,652
1,25	7,695
1,26	7,734
1,27	7,769
1,28	7,801
1,29	7,828
1,3	7,849
1,31	7,865
1,32	7,877
1,33	7,889
1,34	7,901
1,35	7,909
1,36	7,913
1,37	7,913
1,38	7,910
1,39	7,902
1,4	7,891
1,41	7,879
1,42	7,872
1,43	7,862
1,44	7,853
1,45	7,843
1,46	7,823
1,47	7,803
1,48	7,793
1,49	7,779
1,5	7,760
1,51	7,739
1,52	7,716
1,53	7,692
1,54	7,666
1,55	7,641
1,56	7,615
1,57	7,588
1,58	7,558
1,59	7,526
1,6	7,493
1,61	7,461
1,62	7,429
1,63	7,396
1,64	7,364
1,65	7,331
1,66	7,296
1,67	7,261
1,68	7,224
1,69	7,189
1,7	7,152
1,71	7,113
1,72	7,075
1,73	7,038
1,74	6,997
1,75	6,956
1,76	6,918
1,77	6,876
1,78	6,835
1,79	6,796
1,8	6,756
1,81	6,712
1,82	6,668
1,83	6,628
1,84	6,589
1,85	6,552
1,86	6,514
1,87	6,477
1,88	6,438
1,89	6,396
1,9	6,349
1,91	6,296
1,92	6,239
1,93	6,179
1,94	6,116
1,95	6,049
1,96	5,978
1,97	5,901
1,98	5,819
1,99	5,729
2,0	5,634
2,01	5,535
2,02	5,433
2,03	5,333
2,04	5,234
2,05	5,136
2,06	5,039
2,07	4,940
2,08	4,840
2,09	4,740
2,1	4,642
2,11	4,544
2,12	4,443
2,13	4,338
2,14	4,234
2,15	4,132
2,16	4,028
2,17	3,924
2,18	3,821
2,19	3,716
2,2	3,611
2,21	3,504
2,22	3,400
2,23	3,308
2,24	3,221
2,25	3,133
2,26	3,043
2,27	2,948
2,28	2,848
2,29	2,741
2,3	2,632
2,31	2,524
2,32	2,418
2,33	2,312
2,34	2,209
2,35	2,112
2,36	2,016
2,37	1,923
2,38	1,834
2,39	1,748
2,4	1,667
2,41	1,587
2,42	1,506
2,43	1,423
2,44	1,339
2,45	1,255
2,46	1,171
2,47	1,083
2,48	0,994
2,49	0,909
2,5	0,828
2,51	0,744
2,52	0,664
2,53	0,588
2,54	0,505
2,55	0,417
2,56	0,330
2,57	0,241
2,58	0,150
2,59	0,054
2,6	-0,046
2,61	-0,145
2,62	-0,244
2,63	-0,344
2,64	-0,446
2,65	-0,546
2,66	-0,647
2,67	-0,747
2,68	-0,847
2,69	-0,946
2,7	-1,044
2,71	-1,142
2,72	-1,239
2,73	-1,334
2,74	-1,426
2,75	-1,516
2,76	-1,604
2,77	-1,689
2,78	-1,771
2,79	-1,851
2,8	-1,929
2,81	-2,008
2,82	-2,086
2,83	-2,160
2,84	-2,230
2,85	-2,297
2,86	-2,359
2,87	-2,418
2,88	-2,473
2,89	-2,524
2,9	-2,571
2,91	-2,615
2,92	-2,656
2,93	-2,698
2,94	-2,739
2,95	-2,781
2,96	-2,825
2,97	-2,871
2,98	-2,914
2,99	-2,954
3,0	-2,990
3,01	-3,021
3,02	-3,048
3,03	-3,073
3,04	-3,097
3,05	-3,118
3,06	-3,135
3,07	-3,148
3,08	-3,158
3,09	-3,169
3,1	-3,181
3,11	-3,194
3,12	-3,205
3,13	-3,212
3,14	-3,218
3,15	-3,224
3,16	-3,231
3,17	-3,238
3,18	-3,250
3,19	-3,263
3,2	-3,272
3,21	-3,281
3,22	-3,288
3,23	-3,300
3,24	-3,322
3,25	-3,348
3,26	-3,373
3,27	-3,396
3,28	-3,417
3,29	-3,436
3,3	-3,455
3,31	-3,471
3,32	-3,486
3,33	-3,498
3,34	-3,511
3,35	-3,524
3,36	-3,537
3,37	-3,546
3,38	-3,551
3,39	-3,554
3,4	-3,555
3,41	-3,556
3,42	-3,556
3,43	-3,559
3,44	-3,563
3,45	-3,569
3,46	-3,577
3,47	-3,583
3,48	-3,586
3,49	-3,590
3,5	-3,589
3,51	-3,584
3,52	-3,583
3,53	-3,587
3,54	-3,591
3,55	-3,594
3,56	-3,595
3,57	-3,596
3,58	-3,599
3,59	-3,601
3,6	-3,603
3,61	-3,604
3,62	-3,605
3,63	-3,605
3,64	-3,604
3,65	-3,603
3,66	-3,602
3,67	-3,600
3,68	-3,596
3,69	-3,591
3,7	-3,585
3,71	-3,578
3,72	-3,570
3,73	-3,563
3,74	-3,556
3,75	-3,548
3,76	-3,541
3,77	-3,534
3,78	-3,526
3,79	-3,517
3,8	-3,508
3,81	-3,499
3,82	-3,489
3,83	-3,479
3,84	-3,469
3,85	-3,458
3,86	-3,446
3,87	-3,433
3,88	-3,420
3,89	-3,407
3,9	-3,394
3,91	-3,381
3,92	-3,369
3,93	-3,356
3,94	-3,344
3,95	-3,333
3,96	-3,321
3,97	-3,310
3,98	-3,299
3,99	-3,287
4,0	-3,276
4,01	-3,264
4,02	-3,252
4,03	-3,241
4,04	-3,229
4,05	-3,218
4,06	-3,205
4,07	-3,191
4,08	-3,176
4,09	-3,164
4,1	-3,154
4,11	-3,144
4,12	-3,134
4,13	-3,123
4,14	-3,111
4,15	-3,103
4,16	-3,100
4,17	-3,096
4,18	-3,094
4,19	-3,092
4,2	-3,087
4,21	-3,087
4,22	-3,094
4,23	-3,105
4,24	-3,118
4,25	-3,129
4,26	-3,136
4,27	-3,138
4,28	-3,140
4,29	-3,142
4,3	-3,144
4,31	-3,146
4,32	-3,150
4,33	-3,154
4,34	-3,158
4,35	-3,160
4,36	-3,161
4,37	-3,159
4,38	-3,155
4,39	-3,151
4,4	-3,147
4,41	-3,144
4,42	-3,140
4,43	-3,135
4,44	-3,127
4,45	-3,117
4,46	-3,107
4,47	-3,098
4,48	-3,084
4,49	-3,070
4,5	-3,057
4,51	-3,043
4,52	-3,028
4,53	-3,014
4,54	-2,998
4,55	-2,982
4,56	-2,967
4,57	-2,952
4,58	-2,938
4,59	-2,924
4,6	-2,911
4,61	-2,898
4,62	-2,883
4,63	-2,869
4,64	-2,855
4,65	-2,841
4,66	-2,827
4,67	-2,813
4,68	-2,799
4,69	-2,785
4,7	-2,772
4,71	-2,759
4,72	-2,744
4,73	-2,731
4,74	-2,716
4,75	-2,702
4,76	-2,688
4,77	-2,675
4,78	-2,662
4,79	-2,649
4,8	-2,636
4,81	-2,623
4,82	-2,611
4,83	-2,598
4,84	-2,586
4,85	-2,574
4,86	-2,563
4,87	-2,552
4,88	-2,541
4,89	-2,531
4,9	-2,521
4,91	-2,511
4,92	-2,501
4,93	-2,492
4,94	-2,483
4,95	-2,474
4,96	-2,466
4,97	-2,459
4,98	-2,451
4,99	-2,443
5,0	-2,436
5,01	-2,429
5,02	-2,422
5,03	-2,414
5,04	-2,407
5,05	-2,399
5,06	-2,389
5,07	-2,379
5,08	-2,368
5,09	-2,356
5,1	-2,346
5,11	-2,337
5,12	-2,328
5,13	-2,314
5,14	-2,297
5,15	-2,283
5,16	-2,274
5,17	-2,265
5,18	-2,257
5,19	-2,249
5,2	-2,236
5,21	-2,221
5,22	-2,206
5,23	-2,191
5,24	-2,176
5,25	-2,161
5,26	-2,146
5,27	-2,131
5,28	-2,114
5,29	-2,096
5,3	-2,076
5,31	-2,051
5,32	-2,023
5,33	-1,991
5,34	-1,958
5,35	-1,921
5,36	-1,882
5,37	-1,842
5,38	-1,800
5,39	-1,758
5,4	-1,713
5,41	-1,667
5,42	-1,619
5,43	-1,569
5,44	-1,514
5,45	-1,450
5,46	-1,383
5,47	-1,318
5,48	-1,248
5,49	-1,177
5,5	-1,111
5,51	-1,047
5,52	-0,979
5,53	-0,909
5,54	-0,835
5,55	-0,756
5,56	-0,676
5,57	-0,594
5,58	-0,513
5,59	-0,433
5,6	-0,350
5,61	-0,266
5,62	-0,183
5,63	-0,100
5,64	-0,014
5,65	0,076
5,66	0,167
5,67	0,256
5,68	0,344
5,69	0,431
5,7	0,519
5,71	0,609
5,72	0,703
5,73	0,796
5,74	0,890
5,75	0,983
5,76	1,074
5,77	1,164
5,78	1,254
5,79	1,340
5,8	1,424
5,81	1,508
5,82	1,593
5,83	1,681
5,84	1,772
5,85	1,866
5,86	1,959
5,87	2,053
5,88	2,149
5,89	2,248
5,9	2,349
5,91	2,451
5,92	2,553
5,93	2,652
5,94	2,752
5,95	2,853
5,96	2,949
5,97	3,038
5,98	3,124
5,99	3,206
6,0	3,284
6,01	3,361
6,02	3,439
6,03	3,516
6,04	3,591
6,05	3,666
6,06	3,742
6,07	3,814
6,08	3,878
6,09	3,942
6,1	4,005
6,11	4,064
6,12	4,133
6,13	4,211
6,14	4,285
6,15	4,357
6,16	4,428
6,17	4,495
6,18	4,560
6,19	4,626
6,2	4,691
6,21	4,753
6,22	4,814
6,23	4,870
6,24	4,923
6,25	4,974
6,26	5,026
6,27	5,079
6,28	5,135
6,29	5,195
6,3	5,258
6,31	5,322
6,32	5,384
6,33	5,444
6,34	5,504
6,35	5,563
6,36	5,619
6,37	5,676
6,38	5,732
6,39	5,785
6,4	5,838
6,41	5,894
6,42	5,943
6,43	5,987
6,44	6,034
6,45	6,081
6,46	6,128
6,47	6,178
6,48	6,228
6,49	6,281
6,5	6,336
6,51	6,393
6,52	6,447
6,53	6,501
6,54	6,553
6,55	6,603
6,56	6,648
6,57	6,690
6,58	6,732
6,59	6,774
6,6	6,817
6,61	6,863
6,62	6,909
6,63	6,953
6,64	6,996
6,65	7,039
6,66	7,082
6,67	7,121
6,68	7,157
6,69	7,192
6,7	7,223
6,71	7,250
6,72	7,278
6,73	7,309
6,74	7,341
6,75	7,372
6,76	7,402
6,77	7,431
6,78	7,459
6,79	7,485
6,8	7,510
6,81	7,536
6,82	7,563
6,83	7,584
6,84	7,598
6,85	7,606
6,86	7,611
6,87	7,612
6,88	7,612
6,89	7,610
6,9	7,608
6,91	7,602
6,92	7,594
6,93	7,582
6,94	7,560
6,95	7,540
6,96	7,527
6,97	7,509
6,98	7,486
6,99	7,460
7,0	7,432
7,01	7,401
7,02	7,367
7,03	7,334
7,04	7,300
7,05	7,264
7,06	7,226
7,07	7,186
7,08	7,147
7,09	7,109
7,1	7,071
7,11	7,034
7,12	6,995
7,13	6,956
7,14	6,916
7,15	6,876
7,16	6,836
7,17	6,798
7,18	6,759
7,19	6,720
7,2	6,683
7,21	6,648
7,22	6,607
7,23	6,569
7,24	6,534
7,25	6,495
7,26	6,454
7,27	6,417
7,28	6,376
7,29	6,331
7,3	6,277
7,31	6,219
7,32	6,162
7,33	6,106
7,34	6,048
7,35	5,989
7,36	5,930
7,37	5,869
7,38	5,806
7,39	5,737
7,4	5,665
7,41	5,586
7,42	5,504
7,43	5,417
7,44	5,324
7,45	5,227
7,46	5,127
7,47	5,024
7,48	4,921
7,49	4,817
7,5	4,715
7,51	4,612
7,52	4,511
7,53	4,414
7,54	4,320
7,55	4,223
7,56	4,125
7,57	4,026
7,58	3,924
7,59	3,814
7,6	3,696
7,61	3,567
7,62	3,426
7,63	3,277
7,64	3,124
7,65	2,973
7,66	2,824
7,67	2,685
7,68	2,553
7,69	2,424
7,7	2,297
7,71	2,174
7,72	2,063
7,73	1,963
7,74	1,861
7,75	1,759
7,76	1,656
7,77	1,549
7,78	1,438
7,79	1,327
7,8	1,215
7,81	1,103
7,82	0,991
7,83	0,881
7,84	0,775
7,85	0,672
7,86	0,568
7,87	0,459
7,88	0,346
